Date,Symbol,Order,Shares,Type
2011-08-25,ML4T-220,BUY,100,Entry
2011-08-31,ML4T-220,SELL,100,Exit
2011-09-01,ML4T-220,BUY,100,Entry
2011-09-08,ML4T-220,SELL,100,Exit
2011-09-09,ML4T-220,BUY,100,Entry
2011-09-15,ML4T-220,SELL,100,Exit
2011-09-16,ML4T-220,SELL,100,Entry
2011-09-22,ML4T-220,BUY,100,Exit
2011-09-23,ML4T-220,SELL,100,Entry
2011-09-29,ML4T-220,BUY,100,Exit
2011-09-30,ML4T-220,SELL,100,Entry
2011-10-06,ML4T-220,BUY,100,Exit
2011-10-07,ML4T-220,BUY,100,Entry
2011-10-13,ML4T-220,SELL,100,Exit
2011-10-14,ML4T-220,BUY,100,Entry
2011-10-20,ML4T-220,SELL,100,Exit
2011-10-21,ML4T-220,BUY,100,Entry
2011-10-27,ML4T-220,SELL,100,Exit
2011-10-28,ML4T-220,SELL,100,Entry
2011-11-03,ML4T-220,BUY,100,Exit
2011-11-04,ML4T-220,SELL,100,Entry
2011-11-10,ML4T-220,BUY,100,Exit
2011-11-11,ML4T-220,SELL,100,Entry
2011-11-17,ML4T-220,BUY,100,Exit
2011-11-18,ML4T-220,BUY,100,Entry
2011-11-25,ML4T-220,SELL,100,Exit
2011-11-28,ML4T-220,BUY,100,Entry
2011-12-02,ML4T-220,SELL,100,Exit
2011-12-05,ML4T-220,BUY,100,Entry
2011-12-09,ML4T-220,SELL,100,Exit
2011-12-12,ML4T-220,SELL,100,Entry
2011-12-16,ML4T-220,BUY,100,Exit
