,SPY,predY_returns
2010-07-30,105.85,-0.0351215217777
2010-08-02,108.24,-0.0294676653452
2010-08-03,107.72,-0.0223831563717
2010-08-04,108.44,-0.0141655537798
2010-08-05,108.33,-0.00518444105564
2010-08-06,107.89,0.00413520450069
2010-08-09,108.46,0.0133363820863
2010-08-10,107.88,0.0219584367478
2010-08-11,104.92,0.0295676359912
2010-08-12,104.28,0.0357864281427
2010-08-13,103.97,0.0403179272529
2010-08-16,103.92,0.0429629173168
2010-08-17,105.2,0.04362790814
2010-08-18,105.39,0.0423242254282
2010-08-19,103.56,0.0391594801554
2010-08-20,103.22,0.034323527606
2010-08-23,102.83,0.0280713587741
2010-08-24,101.3,0.0207051702605
2010-08-25,101.7,0.0125573752411
2010-08-26,101.01,0.00397556884115
2010-08-27,102.58,-0.00469004732858
2010-08-30,101.09,-0.0130969469558
2010-08-31,101.09,-0.0209186441222
2010-09-01,104.11,-0.0278518554325
2010-09-02,105.08,-0.0336231110542
2010-09-03,106.45,-0.0379954909098
2010-09-07,105.25,-0.0407759164017
2010-09-08,105.99,-0.0418232311193
2010-09-09,106.48,-0.0410568759463
2010-09-10,107.01,-0.0384656630161
2010-09-13,108.2,-0.0341155743964
2010-09-14,108.14,-0.028155258784
2010-09-15,108.55,-0.0208175512382
2010-09-16,108.52,-0.0124154151676
2010-09-17,108.56,-0.00333108669487
2010-09-20,110.22,0.00600198037261
2010-09-21,110.0,0.015123659918
2010-09-22,109.46,0.0235762382806
2010-09-23,108.57,0.0309349887242
2010-09-24,110.81,0.0368367600435
2010-09-27,110.28,0.0410031365275
2010-09-28,110.67,0.0432557267775
2010-09-29,110.47,0.0435223629777
2010-09-30,110.14,0.0418345497295
2010-10-01,110.61,0.0383176264503
2010-10-04,109.78,0.033175912852
2010-10-05,111.99,0.0266752775826
2010-10-06,111.98,0.0191252815505
2010-10-07,111.84,0.0108625009658
2010-10-08,112.47,0.00223598501682
2010-10-11,112.58,-0.00640485163007
